
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	0	0	0	0
OC_4,10_10_229_344_0_315.avi	142	110	43	41	
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
OB_2,1_10_119_114_45_270.avi	175	110	32	0	41	0	1.293 2.6066 	0
OC_4,10_10_229_344_0_315.avi	142	110	43	41	34	14	1.8107 3.9225 	0.92851 2.7686 
NO_4,1_10_1_229_0_22.5.avi	242	110	34	14	34	41	1.7775 4.8663 	2.8886 4.1851 
OB_OC_4,10_10_1_114_0_135.avi	267	110	42	14	42	14	2.022 2.7166 	1.1742 3.6232 
OC_4,1_10_1_229_45_135.avi	188	110	41	31	14	31	2.3318 4.1161 	1.2517 3.2763 
OB_OC_2,1_10_1_229_45_270.avi	126	110	41	0	0	2	0	9.6573 
OC_4,1_1_1_119_0_180.avi	54	110	12	31	13	13	2.9293 3.9057 	1.1694 2.1219 
OC_4,1_10_1_1_0_202.5.avi	211	110	123	1	312	1	1.378 2.0801 2.7942 	3.792 
OB_4,1_10_119_229_45_45.avi	95	110	3412	0	13	13	0.86842 1.9256 	2.7579 4.6454 
OB_OC_2,1_10_1_1_45_180.avi	17	110	2	4	2	4	2.0511 	0.96246 
OB_2,1_10_1_344_45_315.avi	272	110	12	0	21	0	1.2923 2.181 	0
OB_OC_2,10_10_114_344_0_135.avi	88	110	1	4	1	4	2.348 	1.3561 
OB_OC_4,1_7_1_1_45_90.avi	160	110	34	32	412	1	2.4375 4.2852 5.3897 	3.2528 
OB_OC_4,1_10_1_114_45_270.avi	248	110	412	1	4112	1	1.0078 2.1363 2.5432 3.8887 	4.9269 
NO_4,1_10_119_344_45_90.avi	130	110	31	41	13	14	1.0463 3.3009 	2.0062 2.8131 
OC_2,10_10_1_344_0_0.avi	266	110	0	41	0	14	0	0.97832 1.9068 
OC_2,1_10_1_114_45_315.avi	143	110	2	1	2	1	1.5812 	0.73198 
OC_2,10_10_114_229_0_90.avi	247	110	1	4	41	0	1.1402 2.0752 	0
OC_2,1_1_1_119_0_270.avi	254	110	4	1	4	1	0.75511 	1.3715 
OB_2,1_10_119_114_45_180.avi	160	110	31	0	13	0	1.1588 2.0319 	0
NO_2,1_10_1_114_45_90.avi	8	110	4	1	4	1	0.97672 	1.624 
OB_OC_2,10_10_1_114_0_315.avi	120	110	4	4	4	4	1.2598 	2.2447 
OC_2,10_10_229_344_0_270.avi	153	110	3	1	3	1	1.0105 	1.8912 
OB_4,1_10_1_229_45_0.avi	98	110	34	42	34	24	1.4397 4.0333 	2.1927 3.1746 
OB_OC_2,1_10_1_344_45_225.avi	71	110	34	0	4	1	7.2829 	2.1231 
OB_2,1_10_1_114_45_180.avi	296	110	1	1	1	1	2.4875 	1.4483 
NO_4,1_10_1_1_0_157.5.avi	155	110	234	2	314	2	1.2418 2.0821 3.4973 	4.3067 
OC_4,1_10_119_344_45_90.avi	320	110	31	41	31	14	1.831 3.2936 	0.95036 2.5411 
OB_2,1_7_1_1_45_270.avi	141	110	34	0	43	0	1.1988 2.1264 	0
OB_4,1_10_1_1_45_225.avi	277	110	41	14	421	3	1.2814 3.0163 3.7518 	2.2498 
OC_4,10_10_1_229_0_22.5.avi	143	110	1	134	13	31	2.1863 4.2252 	1.0892 2.8829 
OB_OC_4,1_1_1_119_0_45.avi	292	110	41	34	432	4	0.84571 1.8216 2.612 	7.0537 
NO_4,10_10_114_229_0_90.avi	272	110	1	432	1	432	2.2275 	1.0816 2.7447 3.7694 
NO_2,10_10_1_344_0_0.avi	136	110	0	41	0	14	0	1.0273 1.9304 
NO_4,1_10_1_229_45_0.avi	78	110	12	31	12	31	1.5222 2.2901 	0.93822 3.09 
NO_2,10_10_114_344_0_270.avi	285	110	1	4	1	4	0.77611 	1.5899 
NO_2,1_10_119_1_45_315.avi	342	110	3	1	1	1	1.4956 	2.8411 
NO_2,10_10_114_229_0_225.avi	118	110	0	43	0	34	0	1.0365 1.8994 
OC_4,1_10_1_114_45_0.avi	242	110	412	1	124	1	1.2492 2.1638 4.0907 	3.0574 
NO_2,10_10_1_114_0_225.avi	158	110	1	1	1	1	1.6864 	0.94189 

