
videoName	rotAngle	videoLength	firstTargets	secondTargets	clickedItemsfromFirstVid	clickedItemsfromSecondVid	respnseTimeFirstVid	respnseTimeSecondVid
NO_2,10_10_1_114_0_90.avi	150	110	12	0	21	0	1.3978 2.6759 	0
OC_2,1_1_1_119_0_135.avi	304	110	2	1	2	1	1.4185 	2.4408 
OC_2,1_10_119_1_45_180.avi	300	110	1	1	1	1	1.3675 	2.9917 
OB_OC_2,1_10_1_114_45_0.avi	93	110	3	4	3	4	1.4574 	2.9294 
OB_OC_4,1_10_119_1_45_315.avi	221	110	412	4	324	4	2.5833 4.007 5.0801 	1.1666 
OB_OC_2,1_10_1_114_45_45.avi	210	110	2	1	2	1	2.9145 	1.7456 
NO_2,10_10_114_229_0_90.avi	195	110	1	4	1	4	2.9784 	1.1388 
OC_2,10_10_229_344_0_135.avi	314	110	4	1	4	1	2.4089 	1.1943 
OB_4,1_10_1_229_45_180.avi	96	110	312	4	213	4	1.4781 3.9346 4.9105 	2.4645 
OB_OC_4,1_10_1_229_45_90.avi	115	110	3412	0	341	2	1.6566 3.2548 7.4877 	5.1423 
OB_2,10_10_1_114_0_225.avi	43	110	4	4	4	4	3.1473 	1.6992 
OB_2,1_10_1_1_45_90.avi	339	110	1	1	1	1	3.428 	1.1725 
OB_OC_2,10_10_1_114_0_0.avi	233	110	4	1	41	0	1.9855 3.5259 	0
OB_OC_4,10_10_1_229_0_0.avi	173	110	142	3	241	3	2.1964 4.1507 5.1969 	3.0551 
OC_2,1_10_1_114_45_180.avi	231	110	42	0	42	0	1.5451 2.9289 	0
NO_2,10_10_229_344_0_315.avi	197	110	4	4	4	4	1.1061 	2.443 
NO_4,1_1_1_119_0_180.avi	234	110	12	31	13	31	1.1437 4.8064 	2.2538 3.5513 
OB_OC_4,10_10_114_229_0_315.avi	196	110	14	43	41	34	2.6818 5.8494 	1.474 4.5389 
NO_4,1_10_1_1_0_202.5.avi	260	110	123	1	312	1	1.4164 2.322 5.1929 	3.7602 
OC_2,10_10_1_114_0_315.avi	189	110	1	1	1	1	2.5991 	1.1515 
NO_2,1_10_1_1_45_0.avi	358	110	12	0	21	0	1.2158 2.1817 	0
OB_4,10_10_229_344_0_0.avi	79	110	43	41	34	14	2.3798 5.8341 	3.2904 7.8189 
OB_4,1_10_119_229_45_315.avi	39	110	3412	0	2431	0	1.1711 2.1724 3.5702 4.9879 	0
OB_2,7_10_1_114_45_90.avi	40	110	4	1	4	1	0.78243 	2.0381 
OB_4,1_10_1_114_45_180.avi	23	110	31	14	13	41	2.461 3.3506 	1.2697 4.5968 
OB_OC_4,1_10_1_1_45_180.avi	146	110	12	42	21	42	1.923 5.9618 	3.3223 4.7385 
OB_OC_4,1_10_119_229_45_90.avi	162	110	412	4	12	43	1.5233 4.2107 	2.5232 5.571 
OB_2,10_10_229_344_0_90.avi	132	110	4	4	4	4	1.4159 	2.5444 
OB_OC_2,1_10_119_1_45_315.avi	275	110	1	4	1	4	3.0385 	1.536 
NO_2,1_1_1_119_0_180.avi	227	110	1	3	1	1	1.3986 	2.6523 
OB_2,10_10_114_344_0_0.avi	278	110	4	1	3	1	1.9082 	3.3164 
NO_4,1_10_1_229_0_112.5.avi	336	110	234	3	431	3	1.9866 4.1543 5.5541 	2.8518 
OB_4,1_10_1_344_45_180.avi	351	110	312	4	213	4	1.7088 3.0846 4.2351 	5.1556 
OB_4,10_10_1_114_0_270.avi	70	110	143	4	431	4	1.6593 2.6367 4.6608 	3.7327 
OB_OC_2,1_10_1_1_45_135.avi	50	110	1	1	1	1	1.5678 	3.2089 
OB_4,10_10_114_229_0_270.avi	251	110	143	4	341	4	2.1167 3.3813 4.7417 	5.6602 
OB_OC_2,1_10_1_229_45_135.avi	34	110	32	0	23	0	1.5529 2.8744 	0
NO_4,10_10_1_229_0_157.5.avi	190	110	12	34	21	43	0.87685 3.8589 	1.9405 3.0107 
NO_2,1_1_1_119_0_270.avi	191	110	4	1	4	1	2.9999 	1.6819 
NO_2,1_10_1_229_45_135.avi	311	110	41	0	41	0	1.2155 3.4715 	0

